关键词:电梯；去,                命中次数 = 284
关键词:按摩；哪,                命中次数 = 2
关键词:餐厅；几点,                命中次数 = 2
关键词:银行；去,                命中次数 = 2
关键词:广场；哪,                命中次数 = 2
关键词:唱歌；楼,                命中次数 = 2
关键词:坐；电梯,                命中次数 = 2
关键词:wifi；什么,                命中次数 = 2
关键词:附近；烟,                命中次数 = 2
关键词:烤鸭；哪,                命中次数 = 2
关键词:特色；美食,                命中次数 = 2
关键词:餐厅；吃,                命中次数 = 2
关键词:健身；地方,                命中次数 = 2
关键词:最近；车站,                命中次数 = 2
关键词:西餐；哪,                命中次数 = 2
关键词:火锅；哪,                命中次数 = 2
关键词:餐厅；地方,                命中次数 = 2
关键词:西餐；去,                命中次数 = 2
关键词:站；公交,                命中次数 = 1
关键词:超市；去,                命中次数 = 1
关键词:温泉；去,                命中次数 = 1
关键词:站；高铁站,                命中次数 = 1
关键词:景点；时间,                命中次数 = 1
关键词:健身房；怎么样,                命中次数 = 1
关键词:游泳；地方,                命中次数 = 1
关键词:停车；收费,                命中次数 = 1
关键词:客梯；去,                命中次数 = 1
关键词:特色；小吃,                命中次数 = 1
关键词:入住；手续,                命中次数 = 1
关键词:商店；哪,                命中次数 = 1
关键词:停车；券,                命中次数 = 1
关键词:停车；费,                命中次数 = 1
关键词:药店；去,                命中次数 = 1
关键词:超市；楼,                命中次数 = 1
关键词:麻将；去,                命中次数 = 1
关键词:餐厅；电梯,                命中次数 = 1
关键词:无线；多少,                命中次数 = 1
关键词:雨伞；去,                命中次数 = 1
关键词:无线；什么,                命中次数 = 1
关键词:中餐；楼,                命中次数 = 1
关键词:取钱；哪,                命中次数 = 1
关键词:游泳；楼,                命中次数 = 1
关键词:健身；电话,                命中次数 = 1
关键词:药店；哪,                命中次数 = 1
关键词:哪里；车站,                命中次数 = 1
关键词:有；西餐,                命中次数 = 1
关键词:wifi；多少,                命中次数 = 1
关键词:入住；要,                命中次数 = 1
关键词:餐厅；早餐,                命中次数 = 1
关键词:咖啡厅；地方,                命中次数 = 1
关键词:有；儿童,                命中次数 = 1
关键词:多久；机场,                命中次数 = 1
关键词:抽烟；楼,                命中次数 = 1
关键词:餐厅；卫生间,                命中次数 = 1
关键词:附近；小吃,                命中次数 = 1
关键词:周围；公交,                命中次数 = 1
关键词:麻将；哪,                命中次数 = 1
关键词:棋牌室；楼,                命中次数 = 1
关键词:电梯；位置,                命中次数 = 1
关键词:休息；楼,                命中次数 = 1
关键词:餐厅；消费,                命中次数 = 1
关键词:几号；地铁,                命中次数 = 1
关键词:停车；电梯,                命中次数 = 1
关键词:帮；叫车,                命中次数 = 1
关键词:哪；烟,                命中次数 = 1
关键词:退房；时间,                命中次数 = 1
关键词:wifi；连,                命中次数 = 1
关键词:游泳；几点,                命中次数 = 1
关键词:坐；地铁,                命中次数 = 1
关键词:超市；多远,                命中次数 = 1
关键词:餐厅；营业,                命中次数 = 1
关键词:中餐；吃,                命中次数 = 1
关键词:洗衣；哪,                命中次数 = 1
关键词:理发；哪,                命中次数 = 1
关键词:医院；去,                命中次数 = 1
关键词:唱歌；时间,                命中次数 = 1
关键词:夜宵；哪,                命中次数 = 1
==============================================
合并关键词共命中次数：1191
一级关键词命中次数：0
二级关键词命中次数：0
未命中次数：28354
总共命中次数：1191
总共query条数：29545
关键词命中占比：4.03%
