关键词:电梯；去,                命中次数 = 323
关键词:去；取钱,                命中次数 = 1
关键词:健身；去,                命中次数 = 1
关键词:西餐；吃,                命中次数 = 1
关键词:附近；小吃,                命中次数 = 1
关键词:外卖；电话,                命中次数 = 1
关键词:餐厅；菜,                命中次数 = 1
关键词:电影；哪,                命中次数 = 1
关键词:夜宵；吃,                命中次数 = 1
关键词:餐厅；地点,                命中次数 = 1
关键词:游泳；几点,                命中次数 = 1
关键词:健身；楼,                命中次数 = 1
关键词:西餐；去,                命中次数 = 1
关键词:唱歌；时间,                命中次数 = 1
关键词:乘；地铁,                命中次数 = 1
关键词:介绍；健身房,                命中次数 = 1
关键词:景点；去,                命中次数 = 1
==============================================
合并关键词共命中次数：1765
一级关键词命中次数：0
二级关键词命中次数：0
未命中次数：48562
总共命中次数：1765
总共query条数：50327
关键词命中占比：3.51%
