关键词:南京市儿童医院,                命中次数 = 1
关键词:餐厅；消费,                命中次数 = 1
关键词:商场；哪,                命中次数 = 3
关键词:总统府开放时间,                命中次数 = 3
关键词:停车；去,                命中次数 = 9
关键词:买茶,                命中次数 = 1
关键词:紫金山,                命中次数 = 1
关键词:购物,                命中次数 = 52
关键词:入住；入住,                命中次数 = 34
关键词:休息室,                命中次数 = 1
关键词:ktv；去,                命中次数 = 1
关键词:客房,                命中次数 = 21
关键词:饭店,                命中次数 = 16
关键词:超市；哪,                命中次数 = 2
关键词:零售店,                命中次数 = 25
关键词:关门,                命中次数 = 3
关键词:餐厅；地方,                命中次数 = 2
关键词:儿童区怎么走,                命中次数 = 1
关键词:开门,                命中次数 = 2
关键词:垃圾桶,                命中次数 = 8
关键词:菜单,                命中次数 = 1
关键词:健身,                命中次数 = 1
关键词:夫子庙,                命中次数 = 25
关键词:金鹰湖滨天地,                命中次数 = 1
关键词:英皇酒店,                命中次数 = 21
关键词:休息区；哪,                命中次数 = 1
关键词:附近；超市,                命中次数 = 3
关键词:早饭在哪,                命中次数 = 1
关键词:周边；龙虾,                命中次数 = 3
关键词:景区；哪,                命中次数 = 1
关键词:南京大学,                命中次数 = 1
关键词:美食,                命中次数 = 14
关键词:自助餐,                命中次数 = 8
关键词:早餐；哪,                命中次数 = 11
关键词:动物园,                命中次数 = 4
关键词:公园,                命中次数 = 16
关键词:洗脸,                命中次数 = 3
关键词:宴会厅；去,                命中次数 = 5
关键词:食堂,                命中次数 = 1
关键词:航班,                命中次数 = 6
关键词:回；房间,                命中次数 = 3
关键词:欢乐谷,                命中次数 = 2
关键词:南京大屠杀纪念馆,                命中次数 = 2
关键词:哪里；公交,                命中次数 = 2
关键词:咖啡；去,                命中次数 = 20
关键词:附近；医院,                命中次数 = 1
关键词:总台,                命中次数 = 6
关键词:休息区；去,                命中次数 = 18
关键词:大排档,                命中次数 = 1
关键词:上班,                命中次数 = 21
关键词:去；车站,                命中次数 = 7
关键词:天安门,                命中次数 = 16
关键词:开房,                命中次数 = 15
关键词:儿童区,                命中次数 = 7
关键词:大厅,                命中次数 = 30
关键词:狮子桥,                命中次数 = 7
关键词:水吧；去,                命中次数 = 5
关键词:小龙虾,                命中次数 = 2
关键词:电梯；间,                命中次数 = 14
关键词:宴会厅,                命中次数 = 4
关键词:WIFI,                命中次数 = 1
关键词:中餐；优惠,                命中次数 = 1
关键词:退房；要,                命中次数 = 2
关键词:最近；火锅,                命中次数 = 1
关键词:商店；哪,                命中次数 = 1
关键词:前台,                命中次数 = 253
关键词:停车；费,                命中次数 = 1
关键词:下班,                命中次数 = 10
关键词:机场,                命中次数 = 16
关键词:附近；饭店,                命中次数 = 1
关键词:附近；公交,                命中次数 = 3
关键词:附近；商场,                命中次数 = 5
关键词:广场；哪,                命中次数 = 2
关键词:宴会厅；菜,                命中次数 = 1
关键词:电梯口；哪,                命中次数 = 4
关键词:wifi；什么,                命中次数 = 1
关键词:会议室,                命中次数 = 7
关键词:坐什么车,                命中次数 = 1
关键词:打印,                命中次数 = 2
关键词:逛逛,                命中次数 = 1
关键词:wifi；房间,                命中次数 = 1
关键词:一楼,                命中次数 = 16
关键词:如心小镇,                命中次数 = 2
关键词:送；快递,                命中次数 = 2
关键词:赌场,                命中次数 = 7
关键词:加个,                命中次数 = 1
关键词:咖啡,                命中次数 = 35
关键词:多远；车站,                命中次数 = 3
关键词:周围,                命中次数 = 2
关键词:去；地铁,                命中次数 = 12
关键词:早餐；早餐,                命中次数 = 33
关键词:电梯厅；哪,                命中次数 = 1
关键词:一楼；电梯,                命中次数 = 1
关键词:车；车站,                命中次数 = 7
关键词:办公室,                命中次数 = 5
关键词:房间,                命中次数 = 106
关键词:行李；去,                命中次数 = 7
关键词:地铁,                命中次数 = 6
关键词:江苏省人民医院,                命中次数 = 1
关键词:电梯；走,                命中次数 = 16
关键词:周边；饭店,                命中次数 = 2
关键词:茶吧,                命中次数 = 1
关键词:物流公司,                命中次数 = 1
关键词:乐园；去,                命中次数 = 4
关键词:最近；超市,                命中次数 = 2
关键词:南京大排档,                命中次数 = 4
关键词:周围；好玩,                命中次数 = 3
关键词:客房；钱,                命中次数 = 2
关键词:客房；电梯厅,                命中次数 = 5
关键词:大堂,                命中次数 = 58
关键词:会议室；楼,                命中次数 = 2
关键词:游乐园；去,                命中次数 = 3
关键词:咨询台,                命中次数 = 1
关键词:打麻将,                命中次数 = 7
关键词:吹风,                命中次数 = 1
关键词:附近；足疗,                命中次数 = 2
关键词:七彩云南,                命中次数 = 1
关键词:早餐；钱,                命中次数 = 1
关键词:包房,                命中次数 = 1
关键词:无线；是,                命中次数 = 3
关键词:去；机场,                命中次数 = 18
关键词:长隆在哪,                命中次数 = 1
关键词:周边；公园,                命中次数 = 1
关键词:周边；美食,                命中次数 = 1
关键词:咖啡；地方,                命中次数 = 1
关键词:洗衣；哪,                命中次数 = 1
关键词:西餐；去,                命中次数 = 2
关键词:附近；银行,                命中次数 = 2
关键词:超市；吃,                命中次数 = 1
关键词:滑梯,                命中次数 = 1
关键词:物流,                命中次数 = 1
关键词:停车；哪,                命中次数 = 6
关键词:客房；哪,                命中次数 = 2
关键词:礼宾台,                命中次数 = 7
关键词:早点,                命中次数 = 4
关键词:VIP,                命中次数 = 1
==============================================
总共命中次数：4341
总共query条数：29545
关键词命中占比：14.69%
