关键词:附近；酒店,                命中次数 = 4
关键词:周围；饭店,                命中次数 = 1
关键词:wifi；连,                命中次数 = 1
关键词:买酒,                命中次数 = 2
关键词:休息室；哪,                命中次数 = 1
关键词:最近；医院,                命中次数 = 2
关键词:密码,                命中次数 = 25
关键词:早餐；楼,                命中次数 = 7
关键词:高铁,                命中次数 = 6
关键词:酒吧,                命中次数 = 10
关键词:点；外卖,                命中次数 = 4
关键词:英皇娱乐酒店,                命中次数 = 35
关键词:无线；连,                命中次数 = 1
关键词:外卖,                命中次数 = 11
关键词:超市,                命中次数 = 10
关键词:自助餐；钱,                命中次数 = 2
关键词:中餐；哪,                命中次数 = 2
关键词:商场；几点,                命中次数 = 1
关键词:药店,                命中次数 = 1
关键词:车；公交,                命中次数 = 4
关键词:休息室；去,                命中次数 = 1
关键词:影院,                命中次数 = 1
关键词:旅游,                命中次数 = 7
关键词:办理,                命中次数 = 14
关键词:健身房,                命中次数 = 28
关键词:午餐；吃,                命中次数 = 1
关键词:电梯；口,                命中次数 = 53
关键词:海边,                命中次数 = 1
关键词:小吃；哪,                命中次数 = 8
关键词:坐；机场,                命中次数 = 4
关键词:喝茶,                命中次数 = 3
关键词:停车；收费,                命中次数 = 5
关键词:饮水机,                命中次数 = 2
关键词:咖啡；时间,                命中次数 = 1
关键词:开水,                命中次数 = 3
关键词:厕所,                命中次数 = 360
关键词:商店；地方,                命中次数 = 1
关键词:电影；票,                命中次数 = 1
关键词:电话,                命中次数 = 89
关键词:客梯,                命中次数 = 3
关键词:自助餐；价格,                命中次数 = 2
关键词:咖啡；开门,                命中次数 = 2
关键词:自助餐；哪,                命中次数 = 13
关键词:健身房；电梯,                命中次数 = 1
关键词:营业时间,                命中次数 = 5
关键词:多久；地铁,                命中次数 = 1
关键词:ktv；地方,                命中次数 = 1
关键词:动物园；去,                命中次数 = 3
关键词:洗澡,                命中次数 = 13
关键词:介绍,                命中次数 = 223
关键词:wifi；是,                命中次数 = 2
关键词:学校,                命中次数 = 11
关键词:小苹果,                命中次数 = 40
关键词:酒店大堂,                命中次数 = 12
关键词:游泳馆；去,                命中次数 = 1
关键词:广场；去,                命中次数 = 6
关键词:哪里；车站,                命中次数 = 2
关键词:电梯；厅,                命中次数 = 59
关键词:快递,                命中次数 = 3
关键词:座位,                命中次数 = 3
关键词:餐厅；吃,                命中次数 = 5
关键词:客房；提供,                命中次数 = 1
关键词:新街口,                命中次数 = 8
关键词:会议室；介绍,                命中次数 = 1
关键词:公园；哪,                命中次数 = 3
关键词:有多大,                命中次数 = 7
关键词:附近；吃,                命中次数 = 95
关键词:商场；去,                命中次数 = 2
关键词:导航,                命中次数 = 10
关键词:大巴,                命中次数 = 1
关键词:多久；机场,                命中次数 = 2
关键词:客房；位置,                命中次数 = 1
关键词:大门,                命中次数 = 53
关键词:线；地铁,                命中次数 = 8
关键词:附近；营业厅,                命中次数 = 1
关键词:周围；景点,                命中次数 = 1
关键词:餐厅；菜,                命中次数 = 1
关键词:星巴克,                命中次数 = 2
关键词:吃饭,                命中次数 = 342
关键词:泳池,                命中次数 = 29
关键词:客房；电梯,                命中次数 = 21
关键词:超市；间,                命中次数 = 2
关键词:洗手间,                命中次数 = 593
关键词:电影；哪,                命中次数 = 1
关键词:好玩,                命中次数 = 193
关键词:烤鸭,                命中次数 = 24
关键词:最近；酒店,                命中次数 = 4
关键词:酒店；房价,                命中次数 = 1
关键词:站；地铁,                命中次数 = 9
关键词:最近；吃,                命中次数 = 2
关键词:去房间,                命中次数 = 20
关键词:退房；时间,                命中次数 = 2
关键词:餐厅；去,                命中次数 = 145
关键词:小吃,                命中次数 = 7
关键词:餐厅；地点,                命中次数 = 1
关键词:去；自助餐,                命中次数 = 7
关键词:美容,                命中次数 = 6
关键词:坐；地铁,                命中次数 = 8
关键词:最近；地铁,                命中次数 = 6
关键词:苏宁大学,                命中次数 = 1
关键词:儿童天地,                命中次数 = 2
关键词:周边；酒吧,                命中次数 = 1
关键词:总经理,                命中次数 = 8
关键词:中餐；吃,                命中次数 = 3
关键词:中餐；晚餐,                命中次数 = 1
关键词:自助,                命中次数 = 40
关键词:小吃；推荐,                命中次数 = 1
关键词:宴会厅；楼,                命中次数 = 3
关键词:会议室；去,                命中次数 = 29
关键词:附近；景点,                命中次数 = 10
关键词:餐厅；包间,                命中次数 = 3
关键词:晚餐,                命中次数 = 9
关键词:景点；去,                命中次数 = 1
关键词:游乐场；哪,                命中次数 = 2
关键词:周边；餐,                命中次数 = 1
关键词:咖啡；宝宝,                命中次数 = 1
关键词:南京站,                命中次数 = 12
关键词:海鲜,                命中次数 = 12
关键词:餐厅；洗手间,                命中次数 = 1
关键词:什么；机场,                命中次数 = 1
关键词:乐园；单,                命中次数 = 1
关键词:公园；开门,                命中次数 = 2
关键词:加油,                命中次数 = 8
关键词:电梯,                命中次数 = 377
关键词:龙虾,                命中次数 = 1
关键词:餐厅；楼,                命中次数 = 9
关键词:客房；电话,                命中次数 = 1
关键词:附近,                命中次数 = 65
关键词:中山陵,                命中次数 = 34
关键词:狮子楼,                命中次数 = 2
关键词:洗衣,                命中次数 = 2
关键词:咖啡；哪,                命中次数 = 10
关键词:好吃,                命中次数 = 425
关键词:退房,                命中次数 = 6
关键词:早餐；去,                命中次数 = 1
关键词:喝水,                命中次数 = 10
关键词:南京有什么,                命中次数 = 7
关键词:早餐；地方,                命中次数 = 4
关键词:休息区,                命中次数 = 2
关键词:药店；去,                命中次数 = 1
关键词:楼层,                命中次数 = 3
关键词:游乐场；楼,                命中次数 = 1
关键词:附近；好玩,                命中次数 = 23
关键词:鸿运厅,                命中次数 = 13
关键词:坐；电梯,                命中次数 = 13
关键词:早点；几点,                命中次数 = 1
关键词:美容美发沙龙,                命中次数 = 1
关键词:无线；什么,                命中次数 = 1
关键词:行李；楼,                命中次数 = 1
关键词:特色菜,                命中次数 = 2
关键词:宴会厅；哪,                命中次数 = 5
关键词:小吃；特色,                命中次数 = 4
关键词:多远；地铁,                命中次数 = 2
关键词:wifi；用,                命中次数 = 2
关键词:餐馆,                命中次数 = 3
关键词:停车场；电梯,                命中次数 = 6
关键词:退房；办,                命中次数 = 1
关键词:最近；电影,                命中次数 = 1
关键词:几层,                命中次数 = 2
关键词:去；高铁站,                命中次数 = 2
关键词:客房；楼,                命中次数 = 1
关键词:茶吧；去,                命中次数 = 7
关键词:打扫,                命中次数 = 11
关键词:南京长江大桥,                命中次数 = 3
关键词:证明,                命中次数 = 1
关键词:什么；地铁,                命中次数 = 1
关键词:水吧,                命中次数 = 1
关键词:紫金山天文台,                命中次数 = 1
关键词:停车,                命中次数 = 15
关键词:游乐场,                命中次数 = 5
关键词:附近；药店,                命中次数 = 4
关键词:餐厅；哪,                命中次数 = 59
关键词:书吧,                命中次数 = 1
关键词:车；机场,                命中次数 = 1
关键词:医院,                命中次数 = 16
关键词:上网,                命中次数 = 8
关键词:景点；哪,                命中次数 = 10
关键词:多远；机场,                命中次数 = 11
关键词:商务中心,                命中次数 = 5
关键词:乐园,                命中次数 = 1
关键词:酒店总经理,                命中次数 = 9
关键词:路线,                命中次数 = 12
关键词:有几层,                命中次数 = 7
关键词:玄武区,                命中次数 = 2
关键词:景区,                命中次数 = 3
关键词:周围；超市,                命中次数 = 5
关键词:行李；哪,                命中次数 = 7
关键词:附近；餐,                命中次数 = 20
关键词:小吃；什么,                命中次数 = 3
关键词:附近；电影,                命中次数 = 3
关键词:坐；公交,                命中次数 = 2
关键词:周边；好玩,                命中次数 = 1
关键词:咖啡；洗手间,                命中次数 = 1
关键词:多久；车站,                命中次数 = 1
关键词:商场,                命中次数 = 7
关键词:餐厅；推荐,                命中次数 = 1
关键词:午餐,                命中次数 = 1
关键词:苏宁总部,                命中次数 = 3
关键词:餐厅；钱,                命中次数 = 2
关键词:餐厅；消费,                命中次数 = 2
关键词:商场；哪,                命中次数 = 1
关键词:总统府开放时间,                命中次数 = 2
关键词:停车；去,                命中次数 = 6
关键词:购物,                命中次数 = 53
关键词:入住；入住,                命中次数 = 54
关键词:休息室,                命中次数 = 3
关键词:理发店,                命中次数 = 2
关键词:晚餐；几点,                命中次数 = 2
关键词:ktv；去,                命中次数 = 5
关键词:客房,                命中次数 = 13
关键词:工作人员,                命中次数 = 1
关键词:饭店,                命中次数 = 20
关键词:超市；哪,                命中次数 = 6
关键词:自助餐；楼,                命中次数 = 1
关键词:零售店,                命中次数 = 23
关键词:关门,                命中次数 = 2
关键词:餐厅；地方,                命中次数 = 1
关键词:开门,                命中次数 = 20
关键词:正门,                命中次数 = 5
关键词:垃圾桶,                命中次数 = 7
关键词:周围；电影,                命中次数 = 1
关键词:包厢；去,                命中次数 = 1
关键词:健身,                命中次数 = 4
关键词:夫子庙,                命中次数 = 30
关键词:金鹰湖滨天地,                命中次数 = 1
关键词:英皇酒店,                命中次数 = 34
关键词:附近；旅游,                命中次数 = 1
关键词:附近；酒吧,                命中次数 = 1
关键词:宴会厅；活动,                命中次数 = 1
关键词:自助餐；地方,                命中次数 = 1
关键词:休息区；哪,                命中次数 = 2
关键词:附近；超市,                命中次数 = 6
关键词:景区；哪,                命中次数 = 1
关键词:酒店大厅,                命中次数 = 1
关键词:南京大学,                命中次数 = 1
关键词:美食,                命中次数 = 13
关键词:自助餐,                命中次数 = 22
关键词:附近；按摩,                命中次数 = 1
关键词:早餐；哪,                命中次数 = 28
关键词:动物园,                命中次数 = 3
关键词:咖啡；推荐,                命中次数 = 1
关键词:停车；楼,                命中次数 = 1
关键词:公园,                命中次数 = 10
关键词:洗脸,                命中次数 = 1
关键词:宴会厅；去,                命中次数 = 3
关键词:周围；吃,                命中次数 = 3
关键词:电影；去,                命中次数 = 4
关键词:食堂,                命中次数 = 3
关键词:航班,                命中次数 = 7
关键词:回；房间,                命中次数 = 6
关键词:入口,                命中次数 = 4
关键词:南京军区南京总医院,                命中次数 = 1
关键词:南京大屠杀纪念馆,                命中次数 = 4
关键词:咖啡；去,                命中次数 = 58
关键词:附近；医院,                命中次数 = 1
关键词:总台,                命中次数 = 11
关键词:休息区；去,                命中次数 = 18
关键词:大排档,                命中次数 = 3
关键词:上班,                命中次数 = 65
关键词:最近；好玩,                命中次数 = 1
关键词:餐厅；位置,                命中次数 = 3
关键词:去；车站,                命中次数 = 24
关键词:天安门,                命中次数 = 4
关键词:开房,                命中次数 = 2
关键词:儿童区,                命中次数 = 1
关键词:大厅,                命中次数 = 23
关键词:狮子桥,                命中次数 = 26
关键词:小龙虾,                命中次数 = 1
关键词:电梯；间,                命中次数 = 23
关键词:赌场在哪,                命中次数 = 1
关键词:宴会厅,                命中次数 = 7
关键词:餐厅；提供,                命中次数 = 1
关键词:退房；要,                命中次数 = 2
关键词:前台,                命中次数 = 245
关键词:停车；费,                命中次数 = 2
关键词:下班,                命中次数 = 46
关键词:机场,                命中次数 = 14
关键词:附近；饭店,                命中次数 = 2
关键词:附近；公交,                命中次数 = 4
关键词:附近；商场,                命中次数 = 7
关键词:花台,                命中次数 = 1
关键词:广场；哪,                命中次数 = 4
关键词:自助餐；好吃,                命中次数 = 1
关键词:水疗；哪,                命中次数 = 2
关键词:电梯口；哪,                命中次数 = 5
关键词:休闲区,                命中次数 = 1
关键词:wifi；酒店,                命中次数 = 1
关键词:wifi；什么,                命中次数 = 3
关键词:会议室,                命中次数 = 29
关键词:周围；加油站,                命中次数 = 1
关键词:打印,                命中次数 = 2
关键词:逛逛,                命中次数 = 8
关键词:游乐园,                命中次数 = 4
关键词:一楼,                命中次数 = 24
关键词:周边；酒店,                命中次数 = 1
关键词:送；快递,                命中次数 = 3
关键词:赌场,                命中次数 = 13
关键词:加个,                命中次数 = 2
关键词:咖啡,                命中次数 = 56
关键词:吃；外卖,                命中次数 = 3
关键词:多远；车站,                命中次数 = 1
关键词:餐厅；介绍,                命中次数 = 39
关键词:周围,                命中次数 = 6
关键词:ktv；几层,                命中次数 = 1
关键词:去；地铁,                命中次数 = 7
关键词:早餐；早餐,                命中次数 = 52
关键词:电梯厅；哪,                命中次数 = 5
关键词:早点；好吃,                命中次数 = 1
关键词:茶叶,                命中次数 = 5
关键词:周边；商场,                命中次数 = 1
关键词:办公室,                命中次数 = 18
关键词:车；车站,                命中次数 = 10
关键词:房间,                命中次数 = 134
关键词:行李；去,                命中次数 = 9
关键词:地铁,                命中次数 = 6
关键词:江苏省人民医院,                命中次数 = 1
关键词:电梯；走,                命中次数 = 9
关键词:茶吧,                命中次数 = 1
关键词:最近；超市,                命中次数 = 12
关键词:乐园；去,                命中次数 = 1
关键词:南京大排档,                命中次数 = 15
关键词:周围；好玩,                命中次数 = 4
关键词:客房；钱,                命中次数 = 3
关键词:健身；去,                命中次数 = 1
关键词:垃圾箱,                命中次数 = 1
关键词:西餐；吃,                命中次数 = 1
关键词:大堂,                命中次数 = 59
关键词:游乐园；去,                命中次数 = 5
关键词:打麻将,                命中次数 = 3
关键词:餐厅；电话,                命中次数 = 2
关键词:吹风,                命中次数 = 2
关键词:附近；足疗,                命中次数 = 1
关键词:wifi密码,                命中次数 = 2
关键词:广场；楼,                命中次数 = 1
关键词:午餐；推荐,                命中次数 = 1
关键词:七彩云南,                命中次数 = 1
关键词:早餐；钱,                命中次数 = 2
关键词:包房,                命中次数 = 1
关键词:华苑酒店,                命中次数 = 1
关键词:早点；几层,                命中次数 = 1
关键词:投诉,                命中次数 = 8
关键词:无线；是,                命中次数 = 3
关键词:去；机场,                命中次数 = 34
关键词:周边；美食,                命中次数 = 1
关键词:早点；去,                命中次数 = 1
关键词:咖啡；地方,                命中次数 = 1
关键词:东北菜,                命中次数 = 1
关键词:西餐；去,                命中次数 = 1
关键词:附近；银行,                命中次数 = 3
关键词:物流,                命中次数 = 1
关键词:停车；哪,                命中次数 = 12
关键词:客房；哪,                命中次数 = 2
关键词:礼宾台,                命中次数 = 5
关键词:早点,                命中次数 = 13
关键词:外卖；房间,                命中次数 = 1
==============================================
总共命中次数：7076
总共query条数：50327
关键词命中占比：14.06%
