关键词:附近；酒店,                命中次数 = 7
关键词:健身房；去,                命中次数 = 10
关键词:最近；景点,                命中次数 = 3
关键词:游乐场；去,                命中次数 = 4
关键词:车；机场,                命中次数 = 3
关键词:什么；高铁站,                命中次数 = 1
关键词:医院,                命中次数 = 12
关键词:附近；美食,                命中次数 = 5
关键词:上网,                命中次数 = 5
关键词:景点；哪,                命中次数 = 2
关键词:多远；机场,                命中次数 = 10
关键词:广场,                命中次数 = 7
关键词:线；公交,                命中次数 = 2
关键词:商务中心,                命中次数 = 5
关键词:行李,                命中次数 = 7
关键词:周围；药店,                命中次数 = 2
关键词:乐园,                命中次数 = 181
关键词:房价,                命中次数 = 3
关键词:wifi；多少,                命中次数 = 8
关键词:饮水,                命中次数 = 1
关键词:ktv；楼,                命中次数 = 1
关键词:洗衣；去,                命中次数 = 1
关键词:酒店总经理,                命中次数 = 10
关键词:路线,                命中次数 = 4
关键词:餐厅；早餐,                命中次数 = 1
关键词:米线,                命中次数 = 12
关键词:吧台,                命中次数 = 1
关键词:加油站,                命中次数 = 1
关键词:玄武区,                命中次数 = 2
关键词:有几层,                命中次数 = 5
关键词:景区,                命中次数 = 10
关键词:早饭,                命中次数 = 9
关键词:公园；去,                命中次数 = 27
关键词:行李；哪,                命中次数 = 2
关键词:周围；超市,                命中次数 = 3
关键词:客房；去,                命中次数 = 85
关键词:附近；餐,                命中次数 = 11
关键词:退房；哪,                命中次数 = 1
关键词:去；公交,                命中次数 = 1
关键词:服务台,                命中次数 = 23
关键词:小吃；什么,                命中次数 = 8
关键词:麻将,                命中次数 = 6
关键词:周边；好玩,                命中次数 = 2
关键词:零食,                命中次数 = 1
关键词:坐；公交,                命中次数 = 1
关键词:商场,                命中次数 = 2
关键词:活动,                命中次数 = 20
关键词:附近；机场,                命中次数 = 3
关键词:周边；吃,                命中次数 = 1
关键词:优惠,                命中次数 = 83
关键词:午餐,                命中次数 = 1
关键词:苏宁总部,                命中次数 = 2
关键词:空调,                命中次数 = 4
关键词:餐厅；钱,                命中次数 = 1
关键词:健身房；楼,                命中次数 = 2
关键词:停车；去,                命中次数 = 6
关键词:订房,                命中次数 = 24
关键词:明孝陵,                命中次数 = 5
关键词:购物,                命中次数 = 14
关键词:入住；入住,                命中次数 = 82
关键词:电影,                命中次数 = 20
关键词:无线,                命中次数 = 1
关键词:ktv；去,                命中次数 = 2
关键词:客房,                命中次数 = 24
关键词:饭店,                命中次数 = 12
关键词:超市；哪,                命中次数 = 2
关键词:昆明人口,                命中次数 = 3
关键词:自助餐；楼,                命中次数 = 2
关键词:最近,                命中次数 = 27
关键词:总统府怎么去,                命中次数 = 1
关键词:零售店,                命中次数 = 63
关键词:周围；饭店,                命中次数 = 1
关键词:关门,                命中次数 = 6
关键词:餐厅；地方,                命中次数 = 1
关键词:开门,                命中次数 = 14
关键词:垃圾桶,                命中次数 = 36
关键词:正门,                命中次数 = 2
关键词:游乐园；哪,                命中次数 = 1
关键词:最近；餐,                命中次数 = 2
关键词:洗衣；服务,                命中次数 = 2
关键词:最近；医院,                命中次数 = 1
关键词:夫子庙,                命中次数 = 32
关键词:金鹰湖滨天地,                命中次数 = 3
关键词:烧烤店,                命中次数 = 1
关键词:密码,                命中次数 = 22
关键词:宴会厅；面积,                命中次数 = 1
关键词:附近；超市,                命中次数 = 6
关键词:早餐；楼,                命中次数 = 7
关键词:高铁,                命中次数 = 6
关键词:景区；哪,                命中次数 = 89
关键词:南京大学,                命中次数 = 2
关键词:美食,                命中次数 = 19
关键词:自助餐,                命中次数 = 9
关键词:酒吧,                命中次数 = 4
关键词:早餐；哪,                命中次数 = 29
关键词:动物园,                命中次数 = 5
关键词:广场；好吃,                命中次数 = 1
关键词:外卖,                命中次数 = 9
关键词:公园,                命中次数 = 38
关键词:超市,                命中次数 = 2
关键词:洗脸,                命中次数 = 2
关键词:自助餐；钱,                命中次数 = 1
关键词:宴会厅；去,                命中次数 = 8
关键词:周围；吃,                命中次数 = 5
关键词:食堂,                命中次数 = 5
关键词:电影；去,                命中次数 = 5
关键词:航班,                命中次数 = 2
关键词:周边；超市,                命中次数 = 1
关键词:回；房间,                命中次数 = 6
关键词:线；机场,                命中次数 = 1
关键词:入口,                命中次数 = 1
关键词:欢乐谷,                命中次数 = 2
关键词:南京大屠杀纪念馆,                命中次数 = 9
关键词:哪里；公交,                命中次数 = 1
关键词:咖啡；去,                命中次数 = 67
关键词:药店,                命中次数 = 3
关键词:附近；医院,                命中次数 = 3
关键词:车；公交,                命中次数 = 4
关键词:站；高铁站,                命中次数 = 3
关键词:总台,                命中次数 = 12
关键词:旅游,                命中次数 = 14
关键词:游乐场；地方,                命中次数 = 1
关键词:休息区；去,                命中次数 = 33
关键词:办理,                命中次数 = 3
关键词:大排档,                命中次数 = 1
关键词:健身房,                命中次数 = 6
关键词:上班,                命中次数 = 24
关键词:去；车站,                命中次数 = 25
关键词:停车；时间,                命中次数 = 4
关键词:电梯；口,                命中次数 = 29
关键词:海边,                命中次数 = 2
关键词:坐；机场,                命中次数 = 4
关键词:小吃；哪,                命中次数 = 2
关键词:天安门,                命中次数 = 1
关键词:喝茶,                命中次数 = 5
关键词:开房,                命中次数 = 3
关键词:大厅,                命中次数 = 48
关键词:停车；收费,                命中次数 = 17
关键词:狮子桥,                命中次数 = 17
关键词:小龙虾,                命中次数 = 3
关键词:电梯；间,                命中次数 = 16
关键词:退房；几点,                命中次数 = 11
关键词:宴会厅,                命中次数 = 8
关键词:WIFI,                命中次数 = 4
关键词:开水,                命中次数 = 5
关键词:退房；要,                命中次数 = 9
关键词:厕所,                命中次数 = 663
关键词:证件,                命中次数 = 1
关键词:电话,                命中次数 = 54
关键词:客梯,                命中次数 = 2
关键词:咖啡；几点,                命中次数 = 1
关键词:零食店,                命中次数 = 2
关键词:前台,                命中次数 = 372
关键词:停车；费,                命中次数 = 1
关键词:自助餐；哪,                命中次数 = 9
关键词:下班,                命中次数 = 8
关键词:机场,                命中次数 = 12
关键词:附近；饭店,                命中次数 = 3
关键词:附近；公交,                命中次数 = 6
关键词:附近；商场,                命中次数 = 6
关键词:金马碧鸡坊,                命中次数 = 2
关键词:花台,                命中次数 = 5
关键词:客房；地方,                命中次数 = 1
关键词:营业时间,                命中次数 = 2
关键词:广场；哪,                命中次数 = 1
关键词:乐园；开门,                命中次数 = 3
关键词:海底世界,                命中次数 = 5
关键词:电梯口；哪,                命中次数 = 6
关键词:动物园；去,                命中次数 = 1
关键词:wifi；酒店,                命中次数 = 2
关键词:晚餐；好吃,                命中次数 = 1
关键词:洗澡,                命中次数 = 21
关键词:介绍,                命中次数 = 109
关键词:会议室,                命中次数 = 2
关键词:附近；菜市场,                命中次数 = 2
关键词:wifi；是,                命中次数 = 1
关键词:学校,                命中次数 = 7
关键词:打印,                命中次数 = 3
关键词:游乐园,                命中次数 = 7
关键词:wifi；房间,                命中次数 = 1
关键词:一楼,                命中次数 = 9
关键词:药店；哪,                命中次数 = 1
关键词:小苹果,                命中次数 = 32
关键词:酒店大堂,                命中次数 = 16
关键词:游泳馆；去,                命中次数 = 2
关键词:广场；去,                命中次数 = 1
关键词:咖啡,                命中次数 = 63
关键词:餐厅；介绍,                命中次数 = 1
关键词:周围,                命中次数 = 9
关键词:附近；火锅,                命中次数 = 1
关键词:晚餐；钱,                命中次数 = 3
关键词:去；地铁,                命中次数 = 9
关键词:电梯；厅,                命中次数 = 124
关键词:快递,                命中次数 = 8
关键词:早餐；早餐,                命中次数 = 44
关键词:健身房；位置,                命中次数 = 2
关键词:茶叶,                命中次数 = 2
关键词:餐厅；吃,                命中次数 = 6
关键词:一楼；电梯,                命中次数 = 1
关键词:游泳馆；收费,                命中次数 = 1
关键词:新街口,                命中次数 = 11
关键词:发；快递,                命中次数 = 1
关键词:会议室；介绍,                命中次数 = 1
关键词:车；车站,                命中次数 = 15
关键词:办公室,                命中次数 = 6
关键词:公园；哪,                命中次数 = 14
关键词:房间,                命中次数 = 146
关键词:行李；去,                命中次数 = 34
关键词:地铁,                命中次数 = 6
关键词:广州塔,                命中次数 = 1
关键词:有多大,                命中次数 = 12
关键词:附近；吃,                命中次数 = 79
关键词:商场；去,                命中次数 = 3
关键词:江苏省人民医院,                命中次数 = 1
关键词:电梯；走,                命中次数 = 13
关键词:茶吧；哪,                命中次数 = 1
关键词:周边；饭店,                命中次数 = 1
关键词:茶吧,                命中次数 = 1
关键词:物流公司,                命中次数 = 4
关键词:乐园；去,                命中次数 = 75
关键词:最近；超市,                命中次数 = 25
关键词:周围；银行,                命中次数 = 1
关键词:南京大排档,                命中次数 = 10
关键词:周围；好玩,                命中次数 = 4
关键词:导航,                命中次数 = 4
关键词:垃圾箱,                命中次数 = 1
关键词:无线；酒店,                命中次数 = 1
关键词:最近；厕所,                命中次数 = 1
关键词:大门,                命中次数 = 50
关键词:线；地铁,                命中次数 = 3
关键词:早餐；好吃,                命中次数 = 3
关键词:周边；公交,                命中次数 = 1
关键词:南京博物馆怎么走,                命中次数 = 1
关键词:大堂,                命中次数 = 73
关键词:游乐园；去,                命中次数 = 5
关键词:咨询台,                命中次数 = 2
关键词:打麻将,                命中次数 = 19
关键词:餐厅；菜,                命中次数 = 1
关键词:吹风,                命中次数 = 1
关键词:吃饭,                命中次数 = 298
关键词:泳池,                命中次数 = 88
关键词:客房；电梯,                命中次数 = 28
关键词:洗手间,                命中次数 = 1112
关键词:电影；哪,                命中次数 = 3
关键词:好玩,                命中次数 = 567
关键词:烤鸭,                命中次数 = 22
关键词:古滇温泉山庄,                命中次数 = 2
关键词:会议室；时间,                命中次数 = 1
关键词:七彩云南,                命中次数 = 6
关键词:最近；酒店,                命中次数 = 4
关键词:早餐；钱,                命中次数 = 2
关键词:站；地铁,                命中次数 = 8
关键词:最近；吃,                命中次数 = 6
关键词:去房间,                命中次数 = 29
关键词:退房；时间,                命中次数 = 6
关键词:售楼部,                命中次数 = 7
关键词:投诉,                命中次数 = 1
关键词:餐厅；去,                命中次数 = 140
关键词:去；机场,                命中次数 = 23
关键词:公园；钱,                命中次数 = 2
关键词:小吃,                命中次数 = 3
关键词:去；自助餐,                命中次数 = 7
关键词:美容,                命中次数 = 2
关键词:坐；地铁,                命中次数 = 5
关键词:最近；地铁,                命中次数 = 8
关键词:早点；去,                命中次数 = 2
关键词:咖啡；地方,                命中次数 = 1
关键词:儿童天地,                命中次数 = 5
关键词:总经理,                命中次数 = 2
关键词:自助,                命中次数 = 9
关键词:附近；银行,                命中次数 = 2
关键词:超市；吃,                命中次数 = 1
关键词:附近；景点,                命中次数 = 8
关键词:停车；哪,                命中次数 = 11
关键词:景区；入口,                命中次数 = 1
关键词:晚餐,                命中次数 = 4
关键词:乐园；地方,                命中次数 = 1
关键词:客房；哪,                命中次数 = 3
关键词:礼宾台,                命中次数 = 70
关键词:早点,                命中次数 = 8
关键词:景点；去,                命中次数 = 1
关键词:肯德基,                命中次数 = 2
关键词:游乐场；哪,                命中次数 = 1
==============================================
总共命中次数：8433
总共query条数：51881
关键词命中占比：16.25%
