关键词:附近；酒店,                命中次数 = 1
关键词:休息室,                命中次数 = 2
关键词:ktv；去,                命中次数 = 1
关键词:客房,                命中次数 = 15
关键词:威尼斯人,                命中次数 = 1
关键词:饭店,                命中次数 = 20
关键词:昆明人口,                命中次数 = 1
关键词:超市；哪,                命中次数 = 3
关键词:大屠杀纪念馆,                命中次数 = 1
关键词:最近,                命中次数 = 17
关键词:总统府怎么去,                命中次数 = 2
关键词:零售店,                命中次数 = 9
关键词:周围；饭店,                命中次数 = 1
关键词:关门,                命中次数 = 2
关键词:餐厅；地方,                命中次数 = 1
关键词:开门,                命中次数 = 4
关键词:垃圾桶,                命中次数 = 9
关键词:正门,                命中次数 = 3
关键词:餐厅；会员,                命中次数 = 1
关键词:休息室；哪,                命中次数 = 1
关键词:菜单,                命中次数 = 1
关键词:餐厅；营业,                命中次数 = 1
关键词:包厢；去,                命中次数 = 5
关键词:夫子庙,                命中次数 = 10
关键词:附近；旅游,                命中次数 = 1
关键词:英皇酒店,                命中次数 = 7
关键词:仙女湖,                命中次数 = 2
关键词:密码,                命中次数 = 9
关键词:休息区；哪,                命中次数 = 3
关键词:附近；超市,                命中次数 = 4
关键词:优惠活动,                命中次数 = 1
关键词:早餐；楼,                命中次数 = 2
关键词:高铁,                命中次数 = 3
关键词:早点；钱,                命中次数 = 1
关键词:景区；哪,                命中次数 = 1
关键词:酒店大厅,                命中次数 = 2
关键词:西餐；优惠,                命中次数 = 1
关键词:南京大学,                命中次数 = 2
关键词:美食,                命中次数 = 3
关键词:自助餐,                命中次数 = 6
关键词:点；外卖,                命中次数 = 1
关键词:早点；哪,                命中次数 = 1
关键词:英皇娱乐酒店,                命中次数 = 1
关键词:早餐；哪,                命中次数 = 8
关键词:动物园,                命中次数 = 6
关键词:停车；楼,                命中次数 = 1
关键词:公园,                命中次数 = 7
关键词:外卖,                命中次数 = 3
关键词:超市,                命中次数 = 3
关键词:自助餐；钱,                命中次数 = 1
关键词:宴会厅；去,                命中次数 = 2
关键词:周围；吃,                命中次数 = 3
关键词:食堂,                命中次数 = 5
关键词:电影；去,                命中次数 = 2
关键词:航班,                命中次数 = 1
关键词:入口,                命中次数 = 2
关键词:回；房间,                命中次数 = 2
关键词:南京大屠杀纪念馆,                命中次数 = 1
关键词:咖啡；去,                命中次数 = 19
关键词:站；高铁站,                命中次数 = 2
关键词:休息室；去,                命中次数 = 1
关键词:总台,                命中次数 = 9
关键词:旅游,                命中次数 = 9
关键词:休息区；去,                命中次数 = 6
关键词:新南轩特色菜,                命中次数 = 4
关键词:办理,                命中次数 = 1
关键词:大排档,                命中次数 = 1
关键词:健身房,                命中次数 = 2
关键词:上班,                命中次数 = 10
关键词:新南轩,                命中次数 = 1
关键词:去；车站,                命中次数 = 3
关键词:电梯；口,                命中次数 = 24
关键词:儿童区域,                命中次数 = 4
关键词:景点；介绍,                命中次数 = 1
关键词:海边,                命中次数 = 4
关键词:小吃；哪,                命中次数 = 3
关键词:天安门,                命中次数 = 4
关键词:喝茶,                命中次数 = 2
关键词:开房,                命中次数 = 1
关键词:儿童区,                命中次数 = 1
关键词:大厅,                命中次数 = 45
关键词:停车；收费,                命中次数 = 1
关键词:水吧；去,                命中次数 = 6
关键词:小龙虾,                命中次数 = 1
关键词:狮子桥,                命中次数 = 5
关键词:电梯；间,                命中次数 = 7
关键词:赌场在哪,                命中次数 = 1
关键词:宴会厅,                命中次数 = 3
关键词:开水,                命中次数 = 1
关键词:退房；要,                命中次数 = 1
关键词:厕所,                命中次数 = 174
关键词:证件,                命中次数 = 1
关键词:电影；票,                命中次数 = 1
关键词:商店；哪,                命中次数 = 1
关键词:电话,                命中次数 = 32
关键词:零食店,                命中次数 = 1
关键词:鄱阳湖,                命中次数 = 3
关键词:前台,                命中次数 = 115
关键词:停车；费,                命中次数 = 3
关键词:自助餐；哪,                命中次数 = 2
关键词:下班,                命中次数 = 8
关键词:机场,                命中次数 = 13
关键词:附近；饭店,                命中次数 = 1
关键词:附近；公交,                命中次数 = 1
关键词:附近；商场,                命中次数 = 2
关键词:花台,                命中次数 = 1
关键词:南京星技职业学院,                命中次数 = 1
关键词:去海边,                命中次数 = 1
关键词:水疗；哪,                命中次数 = 1
关键词:电梯口；哪,                命中次数 = 2
关键词:动物园；去,                命中次数 = 1
关键词:wifi；酒店,                命中次数 = 1
关键词:洗澡,                命中次数 = 5
关键词:介绍,                命中次数 = 58
关键词:wifi；什么,                命中次数 = 1
关键词:会议室,                命中次数 = 1
关键词:坐什么车,                命中次数 = 1
关键词:学校,                命中次数 = 3
关键词:水吧；吃,                命中次数 = 1
关键词:打印,                命中次数 = 3
关键词:棋牌室,                命中次数 = 3
关键词:一楼,                命中次数 = 13
关键词:停车；地方,                命中次数 = 2
关键词:小苹果,                命中次数 = 10
关键词:明月山,                命中次数 = 2
关键词:咖啡；门口,                命中次数 = 1
关键词:酒店大堂,                命中次数 = 1
关键词:赌场,                命中次数 = 1
关键词:广场；去,                命中次数 = 1
关键词:站；机场,                命中次数 = 1
关键词:咖啡,                命中次数 = 12
关键词:周围,                命中次数 = 4
关键词:附近；火锅,                命中次数 = 1
关键词:去；地铁,                命中次数 = 6
关键词:电梯；厅,                命中次数 = 35
关键词:快递,                命中次数 = 2
关键词:早餐；早餐,                命中次数 = 21
关键词:餐厅；吃,                命中次数 = 4
关键词:一楼；电梯,                命中次数 = 1
关键词:新街口,                命中次数 = 1
关键词:办公室,                命中次数 = 10
关键词:车；车站,                命中次数 = 10
关键词:公园；哪,                命中次数 = 2
关键词:房间,                命中次数 = 78
关键词:行李；去,                命中次数 = 2
关键词:地铁,                命中次数 = 5
关键词:附近；吃,                命中次数 = 30
关键词:商场；去,                命中次数 = 1
关键词:电梯；走,                命中次数 = 10
关键词:最近；超市,                命中次数 = 2
关键词:乐园；去,                命中次数 = 3
关键词:健身；去,                命中次数 = 1
关键词:南京大排档,                命中次数 = 2
关键词:导航,                命中次数 = 3
关键词:垃圾箱,                命中次数 = 1
关键词:无线；酒店,                命中次数 = 2
关键词:西餐；吃,                命中次数 = 1
关键词:客房；电梯厅,                命中次数 = 6
关键词:航班；查询,                命中次数 = 5
关键词:大门,                命中次数 = 22
关键词:南京博物馆怎么走,                命中次数 = 1
关键词:大堂,                命中次数 = 37
关键词:去；大巴,                命中次数 = 1
关键词:打麻将,                命中次数 = 3
关键词:餐厅；菜,                命中次数 = 3
关键词:吹风,                命中次数 = 1
关键词:泳池,                命中次数 = 11
关键词:吃饭,                命中次数 = 113
关键词:客房；电梯,                命中次数 = 57
关键词:wifi密码,                命中次数 = 2
关键词:洗手间,                命中次数 = 222
关键词:好玩,                命中次数 = 70
关键词:烤鸭,                命中次数 = 2
关键词:最近；酒店,                命中次数 = 2
关键词:午餐；哪,                命中次数 = 1
关键词:包房,                命中次数 = 1
关键词:华苑酒店,                命中次数 = 1
关键词:站；地铁,                命中次数 = 5
关键词:最近；吃,                命中次数 = 1
关键词:去房间,                命中次数 = 12
关键词:餐厅；去,                命中次数 = 82
关键词:无线；是,                命中次数 = 2
关键词:去；机场,                命中次数 = 11
关键词:小吃,                命中次数 = 3
关键词:去；自助餐,                命中次数 = 3
关键词:琶洲国际会展中心,                命中次数 = 3
关键词:坐；地铁,                命中次数 = 2
关键词:最近；地铁,                命中次数 = 2
关键词:周边；美食,                命中次数 = 2
关键词:苏宁大学,                命中次数 = 1
关键词:总经理,                命中次数 = 2
关键词:水疗；楼,                命中次数 = 2
关键词:中餐；吃,                命中次数 = 1
关键词:水疗,                命中次数 = 3
关键词:自助,                命中次数 = 3
关键词:附近；银行,                命中次数 = 4
关键词:宴会厅；楼,                命中次数 = 1
关键词:会议室；去,                命中次数 = 1
关键词:附近；景点,                命中次数 = 5
关键词:停车；哪,                命中次数 = 5
关键词:晚餐,                命中次数 = 3
关键词:客房；哪,                命中次数 = 3
关键词:小蛮腰,                命中次数 = 6
关键词:新南区,                命中次数 = 1
关键词:VIP,                命中次数 = 6
关键词:礼宾台,                命中次数 = 4
关键词:肯德基,                命中次数 = 2
关键词:游乐场；哪,                命中次数 = 1
==============================================
总共命中次数：2904
总共query条数：21340
关键词命中占比：13.61%
